"id","year","season","scheme","state_name","state_code","district_name","district_code","farmer_count","loanee","non_loanee","area_insured","sum_insured","farmer_share","goi_share","state_share","male","female","transgender","sc","st","obc","gen","marginal","small","other","iu_count","gross_premium"
88,"2018","Kharif","WBCIS","Chhattisgarh","22","Kondagaon","643.0",42.0,14.0,33.0,0.03,23.4,1.17,3.14,3.14,95.74,4.26,0.0,0.0,55.32,31.91,12.77,0.0,78.72,21.28,13.0,7.45
89,"2018","Kharif","WBCIS","Chhattisgarh","22","Korba","383.0",411.0,5.0,570.0,0.19,120.37,6.02,19.06,19.06,91.48,8.52,0.0,4.7,59.83,30.43,5.04,1.39,97.91,0.7,29.0,44.14
90,"2018","Kharif","WBCIS","Chhattisgarh","22","Koriya","nan",299.0,0.0,384.0,0.08,62.1,3.11,6.6,6.6,94.53,5.47,0.0,1.82,62.5,30.73,4.95,1.82,94.27,3.91,8.0,16.31
91,"2018","Kharif","WBCIS","Chhattisgarh","22","Mahasamund","385.0",31.0,29.0,15.0,0.1,99.43,4.97,9.28,9.28,81.82,18.18,0.0,0.0,9.09,54.55,36.36,6.82,43.18,50.0,12.0,23.53
92,"2018","Kharif","WBCIS","Chhattisgarh","22","Mungeli","647.0",76.0,58.0,69.0,0.11,96.9,4.85,7.35,7.35,96.06,3.94,0.0,16.54,3.94,42.52,37.0,0.79,54.33,44.88,5.0,19.55
93,"2018","Kharif","WBCIS","Chhattisgarh","22","Narayanpur","637.0",7.0,1.0,6.0,0.0,4.55,0.23,0.4,0.4,100.0,0.0,0.0,0.0,57.14,42.86,0.0,0.0,100.0,0.0,1.0,1.03
94,"2018","Kharif","WBCIS","Chhattisgarh","22","Raigarh","386.0",168.0,41.0,186.0,0.09,57.83,2.89,8.11,8.11,88.55,11.45,0.0,1.76,13.22,73.13,11.89,1.76,81.94,16.3,13.0,19.11
95,"2018","Kharif","WBCIS","Chhattisgarh","22","Raipur","387.0",78.0,12.0,79.0,0.08,90.72,4.54,9.35,9.35,84.62,15.38,0.0,9.89,4.4,54.95,30.76,10.99,83.52,5.49,24.0,23.24
96,"2018","Kharif","WBCIS","Chhattisgarh","22","Rajnandgaon","388.0",1315.0,699.0,949.0,1.46,2224.41,111.22,599.72,599.72,90.72,9.28,0.0,2.49,10.92,70.15,16.44,6.31,64.5,29.19,20.0,1310.66
97,"2018","Kharif","WBCIS","Chhattisgarh","22","Sukma","642.0",28.0,0.0,30.0,0.02,32.32,1.62,2.79,2.79,73.33,26.67,0.0,0.0,43.33,3.33,53.34,3.33,93.33,3.34,3.0,7.2
98,"2018","Kharif","WBCIS","Chhattisgarh","22","Surajpur","648.0",155.0,2.0,202.0,0.04,30.74,1.54,2.97,2.97,92.65,7.35,0.0,3.92,54.9,29.9,11.28,0.49,95.1,4.41,9.0,7.48
99,"2018","Kharif","WBCIS","Chhattisgarh","22","Surguja","389.0",633.0,55.0,718.0,0.1,78.27,3.91,6.8,6.8,91.46,8.54,0.0,1.03,68.69,18.24,12.04,8.15,86.8,5.05,11.0,17.51
100,"2018","Kharif","WBCIS","Chhattisgarh","22","Uttar Bastar Kanker","nan",426.0,7.0,505.0,0.09,67.28,3.36,8.32,8.32,85.55,14.45,0.0,3.71,37.7,32.42,26.17,2.54,93.16,4.3,13.0,20.0
101,"2018","Kharif","PMFBY","Goa","30","North Goa","551.0",6.0,8.0,1.0,0.01,4.88,0.1,0.01,0.01,100.0,0.0,0.0,0.0,0.0,11.11,88.89,22.22,77.78,0.0,6.0,0.12
102,"2018","Kharif","PMFBY","Goa","30","South Goa","552.0",316.0,335.0,0.0,0.27,323.3,3.24,0.0,0.0,77.01,22.99,0.0,0.0,34.63,0.3,65.07,0.9,98.81,0.29,12.0,3.25
103,"2018","Kharif","PMFBY","Gujarat","24","Banas Kantha","441.0",31.0,31.0,0.0,0.03,10.8,0.46,0.15,0.15,96.77,3.23,0.0,0.0,0.0,6.45,93.55,3.23,96.77,0.0,2.0,0.76
104,"2018","Kharif","PMFBY","Gujarat","24","Patan","455.0",22.0,22.0,0.0,0.02,8.79,0.43,0.28,0.28,95.45,4.55,0.0,0.0,0.0,77.27,22.73,72.73,27.27,0.0,3.0,0.98
105,"2018","Kharif","PMFBY","Haryana","6","Ambala","58.0",21301.0,23126.0,45.0,31.38,23060.88,461.22,115.63,116.34,92.75,7.19,0.06,2.33,0.19,35.15,62.33,12.75,67.25,20.0,481.0,693.19
106,"2018","Kharif","PMFBY","Haryana","6","Bhiwani","59.0",34623.0,44273.0,1432.0,56.82,37074.83,741.5,1742.82,2617.77,92.82,7.13,0.05,1.19,0.19,9.34,89.28,18.82,58.87,22.31,277.0,5102.09
107,"2018","Kharif","PMFBY","Haryana","6","Charkhi Dadri","nan",11655.0,15252.0,295.0,17.14,10975.32,219.51,674.52,913.5,94.49,5.5,0.01,1.98,0.01,7.3,90.71,12.46,68.89,18.65,168.0,1807.53
108,"2018","Kharif","PMFBY","Haryana","6","Faridabad","60.0",4268.0,4369.0,59.0,5.06,3673.98,73.48,46.77,48.84,93.41,6.5,0.09,1.54,0.07,16.73,81.66,28.88,46.21,24.91,138.0,169.09
109,"2018","Kharif","PMFBY","Haryana","6","Fatehabad","61.0",49705.0,57349.0,430.0,96.75,70328.55,1406.57,1774.11,2820.28,88.58,11.33,0.09,1.57,0.1,16.87,81.46,15.01,58.84,26.15,248.0,6000.96
110,"2018","Kharif","PMFBY","Haryana","6","Gurgaon","nan",8551.0,9890.0,201.0,10.66,6149.19,122.98,37.07,101.0,94.41,5.42,0.17,0.91,0.12,55.29,43.68,18.01,64.86,17.13,231.0,261.05
111,"2018","Kharif","PMFBY","Haryana","6","Hisar","63.0",78013.0,84612.0,270.0,121.6,87014.25,1740.28,4952.19,6975.22,91.97,7.97,0.06,0.82,0.1,10.97,88.11,17.69,57.74,24.57,280.0,13667.69
112,"2018","Kharif","PMFBY","Haryana","6","Jhajjar","64.0",17592.0,20260.0,256.0,22.62,15171.74,303.43,979.77,1043.7,94.53,5.43,0.04,0.27,0.01,13.43,86.29,17.0,68.57,14.43,262.0,2326.9
